season,last_name,first_name,average_minutes,usage,games_played,points_per30,true_shooting_proportion,free_throw_rate,three_point_rate,assists_per30,turnovers_per30,offensive_rebounds_per30,defensive_rebounds_per30,steals_per30,blocks_per30,fouls_per30,pounds_per_inch,height_inches
2e3,Jones,Bo,28.9,29.299411860617255,28,17.111111111111114,0.5191477885652643,0.2449658396260338,0.3663250629270047,1.8148148148148149,2.2592592592592595,1.2222222222222223,2.5925925925925926,1.4814814814814814,0.11111111111111112,2.1481481481481484,2.676056338028169,71
2e3,Taylor,LaMar,33.6,21.58071064947677,28,10.955414012738853,0.4965357967667437,0.31755196304849886,0.3724018475750578,4.2675159235668785,2.7707006369426748,0.6687898089171974,2.8025477707006368,1.6560509554140128,0.09554140127388536,1.9426751592356688,2.463768115942029,69
2e3,Hampton,Shawn,24.3,21.561573967722016,28,12.466960352422907,0.5420625191541526,0.5401471038921237,0,0.44052863436123346,2.290748898678414,3.1718061674008813,5.242290748898679,1.0572687224669604,1.7180616740088106,3.656387665198238,2.8125,80
2e3,Okosa,Reggie,21.1,22.174578966155046,28,9.508474576271187,0.43103448275862066,0.19822976212428545,0.004609994468006638,1.0169491525423728,3.152542372881356,4.271186440677966,5.186440677966101,1.2203389830508473,1.2203389830508473,4.423728813559322,2.7160493827160495,81
2e3,Lilly,Scott,23.3,17.041766850512968,28,7.603686635944701,0.4520052596975674,0.18080210387902695,0.5150120534735919,2.903225806451613,2.488479262672811,0.6912442396313364,2.2119815668202767,0.9216589861751152,0.18433179723502305,1.3824884792626728,2.6027397260273974,73
2e3,Likcholitov,L.F.,15,19.637948751230383,28,10,0.5153121319199058,0.449057714958775,0,0.42857142857142855,2.8571428571428568,3,4.5,0.5714285714285715,2.357142857142857,4.285714285714286,2.926829268292683,82
2e3,Treadwell,Matt,19.6,15.211900768582323,28,6.624087591240876,0.481228125994273,0.30225898822780783,0.007954183900731784,1.4233576642335766,2.846715328467153,2.408759124087591,3.503649635036496,0.8211678832116789,1.751824817518248,2.956204379562044,2.6506024096385543,83
2e3,Kodjoe,Patrick,15.2,15.075347267553171,17,8.023255813953488,0.4604911906033102,0.24025627335824878,0.38707955152162304,0.5813953488372093,0.9302325581395349,1.744186046511628,3.604651162790698,1.2790697674418605,0.23255813953488372,2.0930232558139537,2.7848101265822787,79
2e3,Graham,Josh,19.6,13.876622510705417,28,5.912408759124088,0.47318611987381703,0.2015422362425517,0.31545741324921134,2.0802919708029197,2.6277372262773726,1.751824817518248,2.7372262773722627,1.094890510948905,0.5474452554744526,3.1204379562043796,3.051948051948052,77
2e3,Hoggatt,Hunter,12.4,13.8920193166576,27,6.377245508982036,0.433349609375,0.2197265625,0.74462890625,1.347305389221557,1.526946107784431,0.9880239520958085,1.976047904191617,0.5389221556886228,0.08982035928143713,1.6167664670658684,2.5675675675675675,74
2001,Jones,Bo,27.3,25.734441914155088,29,16.27054361567636,0.5856175603363547,0.30577700120126683,0.42863383204106154,2.048040455120101,1.7446270543615676,0.5689001264222503,2.8445006321112514,1.1378002528445006,0.07585335018963338,1.896333754740834,2.6056338028169015,71
2001,Taylor,Willie,24.3,26.865305400012875,28,15.573529411764707,0.573051948051948,0.40584415584415584,0.24675324675324675,1.323529411764706,2.735294117647059,1.7205882352941175,3.5735294117647056,0.573529411764706,0.5294117647058824,3.2205882352941173,2.5974025974025974,77
2001,Likcholitov,L.F.,22.6,22.19568499698559,29,12.706422018348624,0.5517928286852589,0.49800796812749004,0,0.5504587155963303,1.9724770642201834,3.6697247706422016,5.6422018348623855,0.5045871559633027,2.3394495412844036,4.174311926605505,2.891566265060241,83
2001,Jones,Domonic,17.7,28.05371407321591,29,14.502923976608187,0.49504950495049505,0.26748642606196105,0.1397317151069946,2.1052631578947367,2.39766081871345,1.0526315789473684,1.5789473684210527,0.935672514619883,0.4678362573099415,2.5146198830409356,2.4657534246575343,73
2001,Story,Johnnie,29.5,13.633229378160834,28,7.6000000000000005,0.5748074807480748,0.385038503850385,0.0055005500550055,1.1272727272727272,1.6727272727272726,1.8545454545454547,2.909090909090909,0.32727272727272727,0.43636363636363634,3.2,2.9220779220779223,77
2001,Taylor,LaMar,26,18.535243172474203,30,8.202824133504492,0.458182756840475,0.32696609877817934,0.3656857683703321,4.2362002567394095,2.3106546854942236,0.4621309370988447,3.3889602053915278,1.925545571245186,0,2.0025673940949935,2.463768115942029,69
2001,Nesterov,Konstantin,18,18.474514663243873,30,9.239332096474953,0.5400832899531494,0.3058302967204581,0.2732951587714732,1.2244897959183672,2.6716141001855287,2.560296846011132,3.562152133580705,0.6122448979591836,1.280148423005566,4.50834879406308,3.0625,80
2001,Lilly,Scott,17.7,15.69184343018373,30,6.9491525423728815,0.4530053034767237,0.2136122569239835,0.5082498526812022,2.8248587570621466,1.864406779661017,0.3954802259887006,2.711864406779661,1.2429378531073447,0,1.4124293785310733,2.6027397260273974,73
2001,Graham,Josh,14.7,17.963014893339782,25,6.4577656675749315,0.405045118949959,0.3383921246923708,0.39991796554552916,1.6348773841961852,2.9427792915531334,2.043596730245232,4.087193460490464,1.4713896457765667,0.49046321525885556,3.8419618528610355,3.076923076923077,78
2001,Treadwell,Matt,13.7,9.956306149242241,30,5.388349514563107,0.5062944718117132,0.43787629994526545,0,1.0922330097087378,0.7281553398058253,1.9660194174757282,3.7135922330097086,0.6553398058252428,1.237864077669903,2.8398058252427183,2.891566265060241,83
